txg,ant,azi,bw,ber,clh,cli,col,rxs,dis,file,frq,ked,key,lat,lon,nam,net,out,pm,pol,rad,res,rxg,rxh,ter,tlt,txh,txw,uid
0,1232,0,10,0,1,5,10,-95,m,kmz,1530,0,YOUR KEY HERE,38.95619444,-77.08258333,104507,ITM_1W_2m,2,1,v,20,30,0,2,15,0,214.8,1,YOUR UID HERE
0,1232,0,10,0,1,5,10,-95,m,kmz,1530,0,YOUR KEY HERE,38.95027778,-77.07944444,105682,ITM_1W_2m,2,1,v,20,30,0,2,15,0,210.9,1,YOUR UID HERE
0,1232,0,10,0,1,5,10,-95,m,kmz,1530,0,YOUR KEY HERE,38.85144444,-76.97063889,122929,ITM_1W_2m,2,1,v,20,30,0,2,15,0,27.7,1,YOUR UID HERE
0,1232,0,10,0,1,5,10,-95,m,kmz,1530,0,YOUR KEY HERE,38.90222222,-77.035,129950,ITM_1W_2m,2,1,v,20,30,0,2,15,0,52.1,1,YOUR UID HERE
0,1232,0,10,0,1,5,10,-95,m,kmz,1530,0,YOUR KEY HERE,38.96222222,-77.02638889,601116,ITM_1W_2m,2,1,v,20,30,0,2,15,0,154.3,1,YOUR UID HERE
0,1232,0,10,0,1,5,10,-95,m,kmz,1530,0,YOUR KEY HERE,38.94,-77.08138889,601147,ITM_1W_2m,2,1,v,20,30,0,2,15,0,201.8,1,YOUR UID HERE
0,1232,0,10,0,1,5,10,-95,m,kmz,1530,0,YOUR KEY HERE,38.95027778,-77.07972222,601808,ITM_1W_2m,2,1,v,20,30,0,2,15,0,74,1,YOUR UID HERE
0,1232,0,10,0,1,5,10,-95,m,kmz,1530,0,YOUR KEY HERE,38.95027778,-77.07972222,601809,ITM_1W_2m,2,1,v,20,30,0,2,15,0,68,1,YOUR UID HERE
0,1232,0,10,0,1,5,10,-95,m,kmz,1530,0,YOUR KEY HERE,38.93627778,-77.09208333,607978,ITM_1W_2m,2,1,v,20,30,0,2,15,0,130.5,1,YOUR UID HERE
0,1232,0,10,0,1,5,10,-95,m,kmz,1530,0,YOUR KEY HERE,38.95033333,-77.07980556,608420,ITM_1W_2m,2,1,v,20,30,0,2,15,0,73.1,1,YOUR UID HERE
0,1232,0,10,0,1,5,10,-95,m,kmz,1530,0,YOUR KEY HERE,38.95027778,-77.08,608421,ITM_1W_2m,2,1,v,20,30,0,2,15,0,73.2,1,YOUR UID HERE
0,1232,0,10,0,1,5,10,-95,m,kmz,1530,0,YOUR KEY HERE,38.95513889,-77.00380556,608422,ITM_1W_2m,2,1,v,20,30,0,2,15,0,98.1,1,YOUR UID HERE
0,1232,0,10,0,1,5,10,-95,m,kmz,1530,0,YOUR KEY HERE,38.89805556,-76.9525,609866,ITM_1W_2m,2,1,v,20,30,0,2,15,0,85.3,1,YOUR UID HERE
0,1232,0,10,0,1,5,10,-95,m,kmz,1530,0,YOUR KEY HERE,38.955,-77.00388889,617052,ITM_1W_2m,2,1,v,20,30,0,2,15,0,91.4,1,YOUR UID HERE
0,1232,0,10,0,1,5,10,-95,m,kmz,1530,0,YOUR KEY HERE,38.84861111,-76.98647222,619874,ITM_1W_2m,2,1,v,20,30,0,2,15,0,76.2,1,YOUR UID HERE
0,1232,0,10,0,1,5,10,-95,m,kmz,1530,0,YOUR KEY HERE,38.95463889,-77.00483333,620557,ITM_1W_2m,2,1,v,20,30,0,2,15,0,96.3,1,YOUR UID HERE
0,1232,0,10,0,1,5,10,-95,m,kmz,1530,0,YOUR KEY HERE,38.90333333,-77.04333333,620906,ITM_1W_2m,2,1,v,20,30,0,2,15,0,60.9,1,YOUR UID HERE
0,1232,0,10,0,1,5,10,-95,m,kmz,1530,0,YOUR KEY HERE,38.95027778,-77.08005556,1097658,ITM_1W_2m,2,1,v,20,30,0,2,15,0,230.4,1,YOUR UID HERE
0,1232,0,10,0,1,5,10,-95,m,kmz,1530,0,YOUR KEY HERE,38.89427778,-77.01691667,2603339,ITM_1W_2m,2,1,v,20,30,0,2,15,0,51.2,1,YOUR UID HERE
0,1232,0,10,0,1,5,10,-95,m,kmz,1530,0,YOUR KEY HERE,38.85288889,-76.96969444,2603340,ITM_1W_2m,2,1,v,20,30,0,2,15,0,50.9,1,YOUR UID HERE
0,1232,0,10,0,1,5,10,-95,m,kmz,1530,0,YOUR KEY HERE,38.90483333,-77.03913889,2606877,ITM_1W_2m,2,1,v,20,30,0,2,15,0,58.8,1,YOUR UID HERE
0,1232,0,10,0,1,5,10,-95,m,kmz,1530,0,YOUR KEY HERE,38.90594444,-77.04580556,2614718,ITM_1W_2m,2,1,v,20,30,0,2,15,0,45.5,1,YOUR UID HERE
0,1232,0,10,0,1,5,10,-95,m,kmz,1530,0,YOUR KEY HERE,38.95027778,-77.08005556,2621322,ITM_1W_2m,2,1,v,20,30,0,2,15,0,230.4,1,YOUR UID HERE
0,1232,0,10,0,1,5,10,-95,m,kmz,1530,0,YOUR KEY HERE,38.94994444,-77.07963889,2624832,ITM_1W_2m,2,1,v,20,30,0,2,15,0,114.3,1,YOUR UID HERE
0,1232,0,10,0,1,5,10,-95,m,kmz,1530,0,YOUR KEY HERE,38.95527778,-77.00383333,2625137,ITM_1W_2m,2,1,v,20,30,0,2,15,0,102.7,1,YOUR UID HERE
0,1232,0,10,0,1,5,10,-95,m,kmz,1530,0,YOUR KEY HERE,38.85725,-76.98297222,2633402,ITM_1W_2m,2,1,v,20,30,0,2,15,0,15.2,1,YOUR UID HERE
0,1232,0,10,0,1,5,10,-95,m,kmz,1530,0,YOUR KEY HERE,38.89927778,-77.02908333,2634711,ITM_1W_2m,2,1,v,20,30,0,2,15,0,60.7,1,YOUR UID HERE
0,1232,0,10,0,1,5,10,-95,m,kmz,1530,0,YOUR KEY HERE,38.81019444,-77.02452778,2636431,ITM_1W_2m,2,1,v,20,30,0,2,15,0,45.4,1,YOUR UID HERE
