ID,Street Address,City,State,County,Zip Code,Height of Structure,Ground Elevation,Overall Height Above Ground,Overall Height AMSL,Lat Deg,Lat Min,Lat Sec,Latitude,Lat Dir,Lon Deg,Lon Min,Lon Sec,Longitude,Lon Dir
104507,5151 WISCONSIN AVE NW,WASHINGTON,DC,Washington,20016,187.5,104.9,214.8,319.7,38,57,22.3,38.95619444,N,77,4,57.3,77.08258333,W
105682,"4010 CHESAPEAKE ST., NW",WASHINGTON,DC,Washington,20016,172.2,124.9,210.9,335.8,38,57,1,38.95027778,N,77,4,46,77.07944444,W
122929,25 & ALABAMA AVE,WASHINGTON,DC,Washington,20020,24.7,87.2,27.7,114.9,38,51,5.2,38.85144444,N,76,58,14.3,76.97063889,W
129950,"ON TOP OF NORFOLK SOUTHERN RR BUILDING, AT 1500 K. ST",WASHINGTON,DC,Washington,20005,50.9,19.8,52.1,71.9,38,54,8,38.90222222,N,77,2,6,77.035,W
601116,NW CORNER 9TH AND PEABODY,WASHINGTON,DC,Washington,20011,153.3,88,154.3,242.3,38,57,44,38.96222222,N,77,1,35,77.02638889,W
601147,4001 NEBRASKA AVE NW,WASHINGTON,DC,Washington,20016,160,117.9,201.8,319.7,38,56,24,38.94,N,77,4,53,77.08138889,W
601808,WISCONSIN AVE,WASHINGTON,DC,Washington,20016,74,124.9,74,198.9,38,57,1,38.95027778,N,77,4,47,77.07972222,W
601809,WISCONSIN AVE,WASHINGTON,DC,Washington,20016,73.1,124.9,68,192.9,38,57,1,38.95027778,N,77,4,47,77.07972222,W
607978,"4400 MASS. AVENUE, NW",WASHINGTON,DC,Washington,20016,129.4,111.3,130.5,241.8,38,56,10.6,38.93627778,N,77,5,31.5,77.09208333,W
608420,"4623 41st St., N.W. (002054)",WASHINGTON,DC,Washington,20016,64,119.7,73.1,192.8,38,57,1.2,38.95033333,N,77,4,47.3,77.07980556,W
608421,TENLWY 1 41 ST & WISCONSIN NW,WASHINGTON,DC,Washington,20016,73.2,125,73.2,198.2,38,57,1,38.95027778,N,77,4,48,77.08,W
608422,"5321 First Place, N.E., Washington, DC 2",WASHINGTON,DC,Washington,20011,98.1,61.8,98.1,159.9,38,57,18.5,38.95513889,N,77,0,13.7,77.00380556,W
609866,BENNING POWER PLANT 3400 BENNING RD,WASHINGTON,DC,Washington,20019,85.3,10.1,85.3,95.4,38,53,53,38.89805556,N,76,57,9,76.9525,W
617052,RIGGS RD & 1ST PL NE,WASHINGTON,DC,Washington,20011,85.3,63.1,91.4,154.5,38,57,18,38.955,N,77,0,14,77.00388889,W
619874,1500 Bruce Place SE,WASHINGTON,DC,Washington,20032,76.2,56.1,76.2,132.3,38,50,55,38.84861111,N,76,59,11.3,76.98647222,W
620557,"5318 First Place, NE (DC15550-A)",Washington,DC,Washington,20011,90.8,67.1,96.3,163.4,38,57,16.7,38.95463889,N,77,0,17.4,77.00483333,W
620906,"1828 L STREET, NW",WASHINGTON,DC,Washington,20036,46,17,60.9,77.9,38,54,12,38.90333333,N,77,2,36,77.04333333,W
1097658,4623 41st St. NW,Washington-20016,DC,Washington,20016,177.1,119.8,230.4,350.2,38,57,1,38.95027778,N,77,4,48.2,77.08005556,W
2603339,"300 Indiana Aven, N. W.",Washington,DC,Washington,20001,45.7,12.2,51.2,63.4,38,53,39.4,38.89427778,N,77,1,0.9,77.01691667,W
2603340,"2445 Irving Street, S.E.",Washington,DC,Washington,20020,45.7,85.3,50.9,136.2,38,51,10.4,38.85288889,N,76,58,10.9,76.96969444,W
2606877,"1717 DESALES STREET, N.W.",WASHINGTON,DC,Washington,20036,29.9,17.4,58.8,76.2,38,54,17.4,38.90483333,N,77,2,20.9,77.03913889,W
2614718,1920 L Street NW,Washington,DC,Washington,20036,39.4,17.4,45.5,62.9,38,54,21.4,38.90594444,N,77,2,44.9,77.04580556,W
2621322,4623 41st St. NW,Washington-20016,DC,Washington,20016,177.1,119.8,230.4,350.2,38,57,1,38.95027778,N,77,4,48.2,77.08005556,W
2624832,"4001 Brandywine, NW",Washington,DC,Washington,20016,99.1,125,114.3,239.3,38,56,59.8,38.94994444,N,77,4,46.7,77.07963889,W
2625137,5321 1st Place NE #006670,Washington,DC,Washington,20011,102.7,61.8,102.7,164.5,38,57,19,38.95527778,N,77,0,13.8,77.00383333,W
2633402,"1600 morris road, s.e.",washington,DC,Washington,20020,15.2,60.3,15.2,75.5,38,51,26.1,38.85725,N,76,58,58.7,76.98297222,W
